Symbol,GICS Sector,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta
CL,Consumer Staples,8.32,11.31,6.54,26.17,2,86145523712,0.399
CLX,Consumer Staples,7.72,8.59,5.31,21.63,2,20554795008,0.393
CMCSA,Communication Services,3.96,10.9,8.23,23.09,2,1.52112E+11,1.01
CME,Financials,2.13,6.48,9.19,17.8,1,78691844096,0.561
CMG,Consumer Discretionary,6.79,9.59,4.27,20.66,2,80114573312,1.256
CMI,Industrials,5.62,7.74,5.94,19.3,2,41332305920,0.975
CMS,Utilities,9.61,6.84,5.24,21.7,2,21054464000,0.403
CNC,Health Care,0.09,13.28,6.51,19.89,2,40278089728,0.484
CNP,Utilities,12.92,10.67,5.14,28.73,2,18456739840,0.913
COF,Financials,0.13,12.28,10.09,22.5,3,55399669760,1.447
COO,Health Care,2.7,8.8,5.96,17.47,2,22152052736,0.981
COP,Energy,17.57,8.07,8.28,33.91,2,1.25752E+11,1.228
COR,Health Care,1.57,5.53,5.65,12.75,3,47284768768,0.441
COST,Consumer Staples,6.52,11.22,5.55,23.29,3,4.0249E+11,0.788
CPB,Consumer Staples,10.87,8.15,4.47,23.5,2,15393454080,0.175
CPRT,Industrials,1.48,8.96,5.59,16.03,1,48807755776,1.271
CPT,Real Estate,4,3.93,8.17,16.09,1,13321857024,0.916
CRM,Information Technology,2.01,7.48,5.39,14.88,1,2.43962E+11,1.297
CSCO,Information Technology,0.45,6.9,6.51,13.87,2,2.01971E+11,0.819
CSGP,Real Estate,4.86,9.34,7.71,21.91,1,31924740096,0.816
CSX,Industrials,7.04,10.03,4.84,21.91,2,66052870144,1.189
CTAS,Industrials,3.03,9.17,5.88,18.08,2,82610397184,1.312
CTRA,Energy,20.26,8.34,7.47,36.07,2,17010694144,0.199
CTSH,Information Technology,1.11,7.64,5.91,14.66,2,38596894720,1.05
CVS,Health Care,0.03,15.76,6.17,21.97,3,73428492288,0.528
CVX,Energy,17.01,9.18,10.42,36.6,3,2.60253E+11,1.08
D,Utilities,11.94,8.84,5.62,26.4,2,49103040512,0.602
DAL,Industrials,9.88,14.57,5.8,30.26,2,30128158720,1.349
DD,Materials,14.66,7.99,5.94,28.6,3,34593636352,1.325
DE,Industrials,2.67,10.79,6.49,19.95,2,1.0886E+11,0.929
DFS,Financials,0.13,11.87,10.51,22.5,2,34542485504,1.41
DG,Consumer Staples,3.5,8.56,5.53,17.59,2,18914889728,0.444
DGX,Health Care,0.13,13.07,8,21.21,3,17405513728,0.889
DHI,Consumer Discretionary,8.71,6.66,5.66,21.03,2,63652651008,1.728
DHR,Health Care,1.35,5.16,5.35,11.86,2,1.99352E+11,0.861
DIS,Communication Services,0.04,8.96,6.71,15.7,2,1.6841E+11,1.398
DLR,Real Estate,2.8,2.81,7,12.61,0,53710041088,0.619
DLTR,Consumer Staples,3.29,12.78,4.02,20.08,2,15801912320,0.872
DOV,Industrials,7.98,12.48,5.42,25.88,1,25890215936,1.218
DPZ,Consumer Discretionary,10.65,12.2,6.34,29.19,2,14424346624,0.858
DRI,Consumer Discretionary,7.92,15,4.55,27.47,2,19135490048,1.303
DTE,Utilities,15.03,10.04,4.73,29.8,2,26159034368,0.676
DUK,Utilities,11.52,10.68,4.81,27.01,2,90888200192,0.457
DVA,Health Care,0.07,14.08,8.42,22.56,2,13859445760,0.863
DVN,Energy,17.67,8.56,7.53,33.76,2,25336051712,2.069
DXCM,Health Care,5.35,10.62,8.08,24.05,1,28086915072,1.183
EA,Communication Services,0.13,8.42,4.73,13.29,2,38710616064,0.791
EBAY,Consumer Discretionary,2.74,7.65,7.21,17.6,2,31726319616,1.312
