Symbol,GICS Sector,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta,avg_return,volatility,momentum_6m,volatility_norm,totalEsg_norm,risk_score,risk_class
A,Health Care,1.12,6.42,6.1,13.64,2.0,39751831552,1.054,2.5052834415421212e-05,0.0168172675054836,-0.047453981843423296,0.29818155758611625,0.18970503181029502,0.5030269218275517,High
AAL,Industrials,9.94,11.65,4.76,26.35,2.0,7335383552,1.433,-0.0001378936611132055,0.024406230738876416,-0.16640501755464426,0.5582554296222699,0.5572585309427416,0.5120498453962653,High
AAPL,Information Technology,0.46,7.39,9.37,17.22,3.0,3296096681984,1.24,0.0015451656042396679,0.013728929563801655,0.8309746586613026,0.1923441748043444,0.2932330827067669,0.3981132717998999,Medium
ABBV,Health Care,2.38,17.19,10.36,29.93,3.0,341698445312,0.619,0.0005342954549546872,0.012551017499635948,0.20895425332859208,0.15197711252926266,0.6607865818392135,0.22687163478187222,Low
ABT,Health Care,2.27,14.24,8.33,24.83,3.0,205534380032,0.722,0.00015367141302309126,0.012223333784868513,0.03367398020033614,0.14074738721872676,0.5133024869866974,0.2791274375365571,Low
ACGL,Financials,1.47,10.1,10.89,22.46,2.0,42855567360,0.596,0.0015338077594185182,0.014771714884660754,0.8105987511294155,0.22808044176963344,0.4447657605552343,0.3589419608396863,Medium
ACN,Information Technology,0.82,4.61,4.41,9.84,2.0,211116474368,1.239,0.0006673163417335576,0.014351083690286846,0.26526307944552097,0.21366540508337628,0.07981492192018508,0.49627327428195167,Medium
ADBE,Information Technology,1.94,5.99,5.15,13.08,2.0,231233028096,1.296,0.0015047514986958877,0.021184154513823047,0.7048852850878087,0.4478348340713509,0.1735106998264893,0.5992966205122148,High
ADI,Information Technology,9.27,6.68,6.98,22.92,1.0,111884697600,1.073,0.0010483811104577247,0.01818566733827554,0.44561403970178265,0.3450766382529808,0.45806824754193187,0.42381868393501576,Medium
ADM,Consumer Staples,16.64,10.15,5.01,31.79,3.0,28908466176,0.714,-0.0007392110868993432,0.018459000942934387,-0.3196876671456491,0.3544437845593998,0.7145748987854251,0.32683631122146983,Medium
ADP,Industrials,2.8,5.54,5.49,13.82,1.0,113942003712,0.802,0.0004285637641277198,0.011838942311001436,0.16094420352859024,0.1275742862414539,0.19491035280508967,0.3985804306228365,Medium
ADSK,Information Technology,3.68,8.19,4.89,16.76,0.0,57698152448,1.476,0.0009786161451996538,0.018828091539297463,0.3956251818239505,0.367092524258902,0.27993059572006945,0.5082832762673134,High
AEE,Utilities,12.85,9.07,5.25,27.17,2.0,22804828160,0.458,-8.642374815005338e-05,0.012736825085582486,-0.06757821077976828,0.15834474099769075,0.5809716599190284,0.26261818063100306,Low
AEP,Utilities,12.66,8.1,5.38,26.14,2.0,55846035456,0.533,0.00021380794691489054,0.012732544413909953,0.057025359714240546,0.15819804232192275,0.5511856564488143,0.27444456281362795,Low
AES,Utilities,13.26,8.18,5.26,26.69,2.0,13678178304,1.062,-0.0009451495072264335,0.02195590466880894,-0.3906083675267354,0.47428272225830553,0.5670908039329092,0.45773331178181964,Medium
AFL,Financials,0.3,9.14,8.9,18.33,1.0,61698056192,0.949,0.0011219817067283455,0.012876001264042949,0.5417714136250878,0.16311431050464764,0.32533256217466744,0.36773556143292163,Medium
AIG,Financials,1.65,9.67,12.86,24.18,2.0,47394791424,1.075,0.0005988053274399297,0.015034952956492657,0.2243763336740475,0.2371016140303464,0.4945054945054945,0.34445877061601005,Medium
AIZ,Financials,1.63,10.82,11.66,24.11,2.0,10138020864,0.563,0.0011533774440917214,0.015239400050406167,0.5421772429637979,0.24410801868739657,0.49248120300751885,0.3494723300094304,Medium
AJG,Financials,0.09,10.92,10.15,21.16,2.0,65631498240,0.729,0.001134496251119895,0.011282789868453508,0.5623732559360852,0.10851493455829397,0.40717177559282824,0.3022402504978451,Medium
AKAM,Information Technology,3.0,7.09,6.93,17.01,1.0,15044968448,0.676,0.000565910332949773,0.016192596870947196,0.19854060109248403,0.27677408654233676,0.28716020821283983,0.45120036864026614,Medium
ALB,Materials,15.39,4.85,6.33,26.57,2.0,10556814336,1.543,-0.0015384400611895023,0.03257373064815024,-0.5792540792540792,0.8381557613188471,0.5636205899363794,0.6774452208167565,High
ALL,Financials,1.03,10.13,10.88,22.04,2.0,50315587584,0.477,0.0008967545456056245,0.01548237573521519,0.38255522741356496,0.2524347986724233,0.43262001156737995,0.37841287457650197,Medium
ALLE,Industrials,10.9,5.84,5.04,21.78,0.0,12491554816,1.123,0.0007279951439098549,0.015420905110693816,0.28913649277644354,0.25032819954365043,0.4251012145748988,0.38015643389623077,Medium
AMAT,Information Technology,4.49,2.97,5.28,12.74,1.0,155474345984,1.541,0.001989898427769121,0.023678300302129193,1.0392844790767435,0.533309243768477,0.1636784268363216,0.6545141755265576,High
AME,Industrials,8.65,8.51,6.73,23.9,1.0,39030026240,1.173,0.0005492519386522714,0.012421519355051022,0.21726443104926757,0.14753920937333415,0.4864083285135916,0.29396019421856384,Low
AMGN,Health Care,0.73,13.48,7.75,21.96,3.0,178823086080,0.605,0.0006892654000235621,0.01458110344116233,0.2758646832009389,0.22154818503831802,0.43030653556969356,0.3608062967951134,Medium
AMP,Financials,2.08,7.83,10.34,20.27,2.0,44403879936,1.346,0.0009911368316746414,0.014476665447777256,0.4467263154037736,0.21796909360092293,0.3814343551185656,0.37820771411312754,Medium
AMT,Real Estate,2.9,2.85,5.16,10.9,1.0,112249135104,0.83,0.0002326359266768116,0.01617191896091362,0.04374155433801457,0.2760654542874876,0.11046847888953154,0.5214518810166799,High
AMZN,Consumer Discretionary,6.0,15.39,9.22,30.61,3.0,1961417768960,1.146,0.001947657464572456,0.01953194645831132,1.0799347545414322,0.39121364179629575,0.6804511278195489,0.3625477339499579,Medium
ANET,Information Technology,0.4,8.88,7.39,16.67,1.0,113393524736,1.073,0.0029561896339240982,0.027807713683788315,1.9226697062250961,0.6748242958747264,0.27732793522267213,0.693963403435767,High
ANSS,Information Technology,3.51,7.32,5.07,15.89,0.0,27723399168,1.114,0.0008751884203753159,0.01821418895572561,0.34688239293415246,0.3460540744664459,0.25477154424522847,0.5057238269817762,High
AOS,Industrials,7.15,11.87,6.42,25.44,1.0,11915595776,1.147,0.0009796056084663365,0.01663740372711547,0.4209097729542876,0.2920176234833101,0.5309427414690573,0.36283347750236317,Medium
APA,Energy,21.98,8.88,7.96,38.81,2.0,9340100608,3.243,-0.0007702000232146118,0.022402531077670575,-0.34685922813508085,0.48958861529454284,0.9175824175824177,0.32672020214375863,Medium
APD,Materials,7.42,1.5,3.35,12.26,1.0,64722276352,0.828,-7.715360893951292e-05,0.01703654169768151,-0.09041980806487482,0.30569608710071167,0.14979757085020245,0.5234986239203461,High
APH,Information Technology,7.32,4.64,7.6,19.57,2.0,77062520832,1.246,0.0014562276585976246,0.013521663441699689,0.7657066911286621,0.1852411620133762,0.36119144013880855,0.3666681211525023,Medium
APTV,Consumer Discretionary,1.45,3.94,5.26,10.66,1.0,16498891776,1.793,-0.0003926077649332872,0.021695310969730635,-0.2304464644670481,0.46535217268740986,0.10352805089647199,0.6378000832538571,High
ARE,Real Estate,3.91,3.66,6.32,13.89,0.0,21814970368,1.173,-0.00024643596581380137,0.020131971124209846,-0.1702865922669673,0.41177649516350895,0.1969346443030654,0.5682920393768792,High
ATO,Utilities,14.83,13.42,6.36,34.61,2.0,21445437440,0.67,0.00044789695746693477,0.010932005585208971,0.17571950612567658,0.09649355245547847,0.7961249277038751,0.13944616039173705,Low
AVB,Real Estate,2.96,2.05,4.75,9.76,1.0,33116518400,0.986,0.0008886433828990282,0.01310215445272261,0.39770895187330674,0.17086458332115556,0.07750144592249858,0.47151817162369397,Medium
AVGO,Information Technology,7.34,6.0,6.64,19.98,3.0,758829154304,1.183,0.0028890107445369083,0.024622088185851043,1.9417505344559904,0.5656528672321279,0.373048004626952,0.590172518488496,High
AVY,Materials,11.42,0.95,3.71,16.07,1.0,17797928960,0.895,0.0005412470008205678,0.012833249987862458,0.21090550719751566,0.16164922369518414,0.25997686524002317,0.39299878812110123,Medium
AWK,Utilities,9.04,7.58,5.0,21.62,1.0,29209964544,0.691,-8.854127226841531e-05,0.013350110713298604,-0.0712525019561153,0.17936204770467634,0.4204742625795258,0.3394275235909955,Medium
AXP,Financials,0.05,8.85,9.7,18.61,2.0,188676046848,1.212,0.0014763376271137816,0.015710742925999138,0.7580886519909028,0.2602609453708106,0.33342972816657024,0.4227846759558582,Medium
AZO,Consumer Discretionary,0.11,7.07,3.83,11.02,2.0,52974329856,0.709,0.0007337282622147869,0.013303157280821582,0.3086801246321662,0.17775295294243598,0.11393869288606129,0.4610762946110371,Medium
BA,Industrials,8.84,22.48,8.29,39.6,4.0,96371113984,1.575,-9.548964089924564e-05,0.019264933621476195,-0.11080400206824183,0.3820631082881735,0.940427993059572,0.25306666774907527,Low
BAC,Financials,1.73,15.09,11.48,28.3,3.0,306891390976,1.34,0.0005928494737393388,0.015754498915497968,0.21605496989280484,0.2617604637192012,0.6136495083863506,0.3115964748769805,Medium
BALL,Materials,7.6,0.76,3.74,12.1,2.0,20405639168,0.878,0.0006555305934934358,0.01823131578322413,0.2278237420527754,0.3466410110750772,0.1451706188548294,0.5499163591031146,High
BAX,Health Care,2.83,13.6,7.14,23.57,3.0,20539770880,0.593,-0.0005215447189916656,0.01926350785704893,-0.25666148224603763,0.38201424732208283,0.4768652400231348,0.4384624523839958,Medium
BBWI,Consumer Discretionary,12.17,10.25,5.88,28.3,2.0,6389305856,1.753,-0.0004812426135882586,0.02581015148793507,-0.28779807346741487,0.6063678125671463,0.6136495083863506,0.5183608841857476,High
BBY,Consumer Discretionary,2.4,9.09,4.4,15.89,2.0,21360842752,1.479,0.0007131520147421848,0.019243435555767113,0.24860088239480052,0.3813263692872983,0.25477154424522847,0.5268872038742876,High
BDX,Health Care,3.04,13.65,7.13,23.82,3.0,67647401984,0.447,-6.0087986865024455e-05,0.011993705393775804,-0.05375122729080198,0.13287801916880226,0.4840948525159052,0.28608887049491927,Low
BEN,Financials,1.12,9.88,7.3,18.3,2.0,10643009536,1.408,-0.0005323332999747266,0.01832587983686276,-0.2536873471685966,0.3498817224646142,0.32446500867553507,0.4801430300085545,Medium
BG,Consumer Staples,14.39,13.26,5.27,32.92,3.0,13837887488,0.637,0.000286364294451725,0.017108635644042264,0.06079311056970096,0.3081667476117425,0.7472527472527474,0.2859989496659466,Low
BIIB,Health Care,0.42,14.46,7.37,22.24,3.0,29071065088,-0.057,-0.0005704307762572485,0.015187615546493737,-0.24894549081327214,0.24233336304211478,0.43840370156159625,0.3700385372006304,Medium
BIO,Health Care,1.21,9.18,7.0,17.4,1.0,9264203776,0.947,-0.00031243498505914737,0.0211214275638644,-0.20147713663145414,0.44568518065295243,0.2984384037015616,0.5480357469111468,High
BK,Financials,1.13,9.86,9.94,20.93,2.0,52254806016,1.067,0.0010237011232958333,0.01368090396163884,0.47343417591456133,0.19069833677255738,0.40052053209947946,0.3542107892237426,Medium
BKNG,Consumer Discretionary,0.98,10.13,8.13,19.23,3.0,135520034816,1.4,0.001707658387357211,0.016545696198884793,0.9236348879351729,0.2888748052579075,0.3513591671486409,0.43278121629528815,Medium
BLK,Financials,0.9,7.36,9.99,18.25,2.0,133984739328,1.317,0.0006510214012068094,0.01301428397092754,0.2665159617259053,0.16785326072868734,0.32301908617698094,0.37150432196642,Medium
BMY,Health Care,1.31,14.37,7.07,22.74,2.0,100336025600,0.458,-0.0007789394655755033,0.014615737402834433,-0.30874620417572607,0.22273509137044795,0.452862926547137,0.35249588420341393,Medium
BR,Industrials,4.19,7.5,4.94,16.63,2.0,24700252160,1.059,0.001175876747034148,0.012329913769619076,0.5818965849613837,0.1443998847290146,0.27617119722382877,0.37617145194787727,Medium
BRO,Financials,0.13,9.77,10.58,20.48,1.0,29438932992,0.829,0.001557010556679602,0.012115000676652193,0.8557810136226099,0.13703481014369806,0.38750722961249284,0.32721799424122167,Medium
