environmentScore,socialScore,governanceScore,highestControversy,beta,avg_return,momentum_6m
0.7514160886839212,6.42,1.9600947840472698,2.0,1.054,2.5052834415421212e-05,-0.04636244043474986
2.392425796993835,11.65,1.7509374747078,2.0,1.433,-0.0001378936611132055,-0.15392638400738368
0.3784364357202451,7.39,2.3389170222414357,3.0,1.24,0.0015451656042396679,0.6048484254334642
1.2178757094949273,17.19,2.4300984132930052,3.0,0.619,0.0005342954549546872,0.18975573247887478
1.184789984909162,14.24,2.2332350148592526,3.0,0.722,0.00015367141302309126,0.033119426756035894
0.9042181506398859,10.1,2.4756977107026903,2.0,0.596,0.0015338077594185182,0.5936575923038648
0.598836501088704,4.61,1.6882490928583902,2.0,1.239,0.0006673163417335576,0.23528006849827235
1.0784095813505903,5.99,1.8164520818184267,2.0,1.296,0.0015047514986958877,0.5334978269985543
2.329227023940467,6.68,2.0769384114617173,1.0,1.073,0.0010483811104577247,0.36853417227264296
2.8701690505786455,10.15,1.7934247485471162,3.0,0.714,-0.0007392110868993432,-0.27739509280159413
1.33500106673234,5.54,1.8702625307159986,1.0,0.802,0.0004285637641277198,0.14923364258464905
1.5432981099295553,8.19,1.7732559976634952,0.0,1.476,0.0009786161451996538,0.33334247389365645
2.6282852326333477,9.07,1.8325814637483102,2.0,0.458,-8.642374815005338e-05,-0.06539272880433104
2.614471854142644,8.1,1.8531680973566984,2.0,0.533,0.00021380794691489054,0.05545869876135341
2.65745841498615,8.18,1.8341801851120072,2.0,1.062,-0.0009451495072264335,-0.32974132587072874
0.262364264467491,9.14,2.2925347571405443,1.0,0.949,0.0011219817067283455,0.4329320239612216
0.9745596399981308,9.67,2.6290069937617573,2.0,1.075,0.0005988053274399297,0.20243159898533267
0.9669838461896731,10.82,2.5384474167160302,2.0,0.563,0.0011533774440917214,0.4331952120919225
0.08617769624105233,10.92,2.411439497906128,2.0,0.729,0.001134496251119895,0.4462059831374171
1.3862943611198906,7.09,2.0706530356467567,1.0,0.676,0.000565910332949773,0.18110465090797684
2.7966713927557385,4.85,1.9919755158985601,2.0,1.543,-0.0015384400611895023,-0.456952633825839
0.708035793053696,10.13,2.474856313934499,2.0,0.477,0.0008967545456056245,0.32393340111272234
2.4765384001174837,5.84,1.7984040119467235,0.0,1.123,0.0007279951439098549,0.2539726087904977
1.7029282555214393,2.97,1.8373699804801074,1.0,1.541,0.001989898427769121,0.7125990007799015
2.2669579153508947,8.51,2.0451088625993306,1.0,1.173,0.0005492519386522714,0.1966060714626613
0.5481214085096876,13.48,2.169053700369523,3.0,0.605,0.0006892654000235621,0.2436241316509817
1.1249295969854831,7.83,2.428336298299606,2.0,1.346,0.0009911368316746414,0.3693032904401211
1.3609765531356006,2.85,1.8180767775454285,1.0,0.83,0.0002326359266768116,0.04281190549798898
1.9459101490553132,15.39,2.3243465847755584,3.0,1.146,0.001947657464572456,0.7323365252123135
0.33647223662121295,8.88,2.127040520479115,1.0,1.073,0.0029561896339240982,1.07249748153191
1.506297153514587,7.32,1.803358605071407,0.0,1.114,0.0008751884203753159,0.29779258324834235
2.0980179272527715,11.87,2.004179057179289,1.0,1.147,0.0009796056084663365,0.351297351641116
3.1346242724206097,8.88,2.192770226986839,2.0,3.243,-0.0007702000232146118,-0.2977753842720998
2.130609828254235,1.5,1.4701758451005926,1.0,0.828,-7.715360893951292e-05,-0.0865627671053964
2.1186622548331173,4.64,2.151762203259462,2.0,1.246,0.0014562276585976246,0.5685510018242561
0.8960880245566356,3.94,1.8341801851120072,1.0,1.793,-0.0003926077649332872,-0.20737708276480077
1.5912739418064292,3.66,1.9906103279732201,0.0,1.173,-0.00024643596581380137,-0.15724866946967872
2.761906873892921,13.42,1.9960599327407849,2.0,0.67,0.00044789695746693477,0.1618803058279066
1.3762440252663892,2.05,1.749199854809259,1.0,0.986,0.0008886433828990282,0.3348344332054682
2.1210632163706555,6.0,2.033397603178429,3.0,1.183,0.0028890107445369083,1.079004824041494
2.519308076505333,0.95,1.5496879080283263,1.0,0.895,0.0005412470008205678,0.19136843278792198
2.306577114263583,7.58,1.791759469228055,1.0,0.691,-8.854127226841531e-05,-0.0688285264754241
0.048790164169432,8.85,2.3702437414678603,2.0,1.212,0.0014763376271137816,0.5642272257451909
0.10436001532424277,7.07,1.5748464676644813,2.0,0.709,0.0007337282622147869,0.26901909085628267
2.286455711064162,22.48,2.2289385528257473,4.0,1.575,-9.548964089924564e-05,-0.10508407931423842
1.0043016091968684,15.09,2.5241273629412815,3.0,1.34,0.0005928494737393388,0.19561198802618862
2.151762203259462,0.76,1.556037135706985,2.0,0.878,0.0006555305934934358,0.20524328689285812
1.3428648031925547,13.6,2.096790180014449,3.0,0.593,-0.0005215447189916656,-0.22845858724964263
2.5779415157551897,10.25,1.9286186519452522,2.0,1.753,-0.0004812426135882586,-0.25293384013341824
