environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta,avg_return,volatility,momentum_6m
0.7514160886839212,6.42,1.9600947840472698,13.64,2.0,24.40592175379028,1.054,2.5052834415421212e-05,0.0166774229533601,-0.04636244043474986
2.392425796993835,11.65,1.7509374747078,26.35,2.0,22.715975537971786,1.433,-0.0001378936611132055,0.024113157654759666,-0.15392638400738368
0.3784364357202451,7.39,2.3389170222414357,17.22,3.0,28.823760060672083,1.24,0.0015451656042396679,0.013635541584183853,0.6048484254334642
1.2178757094949273,17.19,2.4300984132930052,29.93,3.0,26.55719444619778,0.619,0.0005342954549546872,0.01247290638310339,0.18975573247887478
1.184789984909162,14.24,2.2332350148592526,24.83,3.0,26.048879156320368,0.722,0.00015367141302309126,0.012149232075968502,0.033119426756035894
0.9042181506398859,10.1,2.4756977107026903,22.46,2.0,24.481101400294907,0.596,0.0015338077594185182,0.014663675753694885,0.5936575923038648
0.598836501088704,4.61,1.6882490928583902,9.84,2.0,26.075675829347816,1.239,0.0006673163417335576,0.014249081623961142,0.23528006849827235
1.0784095813505903,5.99,1.8164520818184267,13.08,2.0,26.166691818632646,1.296,0.0015047514986958877,0.02096288972918725,0.5334978269985543
2.329227023940467,6.68,2.0769384114617173,22.92,1.0,25.440734692251763,1.073,0.0010483811104577247,0.018022285917053158,0.36853417227264296
2.8701690505786455,10.15,1.7934247485471162,31.79,3.0,24.087400336465155,0.714,-0.0007392110868993432,0.01829070152293358,-0.27739509280159413
1.33500106673234,5.54,1.8702625307159986,13.82,1.0,25.458955416529484,0.802,0.0004285637641277198,0.011769410285870533,0.14923364258464905
1.5432981099295553,8.19,1.7732559976634952,16.76,0.0,24.77849098999981,1.476,0.0009786161451996538,0.018653036906849885,0.33334247389365645
2.6282852326333477,9.07,1.8325814637483102,27.17,2.0,23.850238111935884,0.458,-8.642374815005338e-05,0.012656393967002248,-0.06539272880433104
2.614471854142644,8.1,1.8531680973566984,26.14,2.0,24.745864374391445,0.533,0.00021380794691489054,0.012652167122857381,0.05545869876135341
2.65745841498615,8.18,1.8341801851120072,26.69,2.0,23.33906757543441,1.062,-0.0009451495072264335,0.021718344734066926,-0.32974132587072874
0.262364264467491,9.14,2.2925347571405443,18.33,1.0,24.84551826319617,0.949,0.0011219817067283455,0.01279381033489747,0.4329320239612216
0.9745596399981308,9.67,2.6290069937617573,24.18,2.0,24.58177817406106,1.075,0.0005988053274399297,0.01492304831116868,0.20243159898533267
0.9669838461896731,10.82,2.5384474167160302,24.11,2.0,23.039558635092696,0.563,0.0011533774440917214,0.01512444680128089,0.4331952120919225
0.08617769624105233,10.92,2.411439497906128,21.16,2.0,24.9073215737712,0.729,0.001134496251119895,0.011219613951116031,0.4462059831374171
1.3862943611198906,7.09,2.0706530356467567,17.01,1.0,23.434309449917546,0.676,0.000565910332949773,0.016062895040691437,0.18110465090797684
2.7966713927557385,4.85,1.9919755158985601,26.57,2.0,23.080037397079607,1.543,-0.0015384400611895023,0.03205445313220726,-0.456952633825839
0.708035793053696,10.13,2.474856313934499,22.04,2.0,24.641580758391314,0.477,0.0008967545456056245,0.01536374662941664,0.32393340111272234
2.4765384001174837,5.84,1.7984040119467235,21.78,0.0,23.248318638284246,1.123,0.0007279951439098549,0.015303211373877986,0.2539726087904977
1.7029282555214393,2.97,1.8373699804801074,12.74,1.0,25.769746577366977,1.541,0.001989898427769121,0.023402317397566964,0.7125990007799015
2.2669579153508947,8.51,2.0451088625993306,23.9,1.0,24.387597090467686,1.173,0.0005492519386522714,0.01234500524626861,0.1966060714626613
0.5481214085096876,13.48,2.169053700369523,21.96,3.0,25.909662808135085,0.605,0.0006892654000235621,0.014475821337905107,0.2436241316509817
1.1249295969854831,7.83,2.428336298299606,20.27,2.0,24.516592688535127,1.346,0.0009911368316746414,0.014372878982020887,0.3693032904401211
1.3609765531356006,2.85,1.8180767775454285,10.9,1.0,25.44398665846114,0.83,0.0002326359266768116,0.016042546417328638,0.04281190549798898
1.9459101490553132,15.39,2.3243465847755584,30.61,3.0,28.304688679189077,1.146,0.001947657464572456,0.019343645959095688,0.7323365252123135
0.33647223662121295,8.88,2.127040520479115,16.67,1.0,25.45413012552508,1.073,0.0029561896339240982,0.02742810059140635,1.07249748153191
1.506297153514587,7.32,1.803358605071407,15.89,0.0,24.045542628894566,1.114,0.0008751884203753159,0.018050297721673728,0.29779258324834235
2.0980179272527715,11.87,2.004179057179289,25.44,1.0,23.201113948513097,1.147,0.0009796056084663365,0.016500518317735073,0.351297351641116
3.1346242724206097,8.88,2.192770226986839,38.81,2.0,22.95758286097069,3.243,-0.0007702000232146118,0.022155280261768655,-0.2977753842720998
2.130609828254235,1.5,1.4701758451005926,12.26,1.0,24.893371281405063,0.828,-7.715360893951292e-05,0.016893047293767727,-0.0865627671053964
2.1186622548331173,4.64,2.151762203259462,19.57,2.0,25.067882888209947,1.246,0.0014562276585976246,0.013431061562286935,0.5685510018242561
0.8960880245566356,3.94,1.8341801851120072,10.66,1.0,23.52655905056697,1.793,-0.0003926077649332872,0.021463317165275757,-0.20737708276480077
1.5912739418064292,3.66,1.9906103279732201,13.89,0.0,23.805862285235477,1.173,-0.00024643596581380137,0.01993200238197007,-0.15724866946967872
2.761906873892921,13.42,1.9960599327407849,34.61,2.0,23.78877775298187,0.67,0.00044789695746693477,0.010872683162604778,0.1618803058279066
1.3762440252663892,2.05,1.749199854809259,9.76,1.0,24.223298040195143,0.986,0.0008886433828990282,0.013017063669570254,0.3348344332054682
2.1210632163706555,6.0,2.033397603178429,19.98,3.0,27.355042495862484,1.183,0.0028890107445369083,0.024323850153032622,1.079004824041494
2.519308076505333,0.95,1.5496879080283263,16.07,1.0,23.602347936969586,0.895,0.0005412470008205678,0.012751601635736506,0.19136843278792198
2.306577114263583,7.58,1.791759469228055,21.62,1.0,24.09777573954868,0.691,-8.854127226841531e-05,0.013261783237926964,-0.0688285264754241
0.048790164169432,8.85,2.3702437414678603,18.61,2.0,25.96329734352649,1.212,0.0014763376271137816,0.015588606776537159,0.5642272257451909
0.10436001532424277,7.07,1.5748464676644813,11.02,2.0,24.69307329084615,0.709,0.0007337282622147869,0.013215447307428211,0.26901909085628267
2.286455711064162,22.48,2.2289385528257473,39.6,4.0,25.291472346201136,1.575,-9.548964089924564e-05,0.019081714188480772,-0.10508407931423842
1.0043016091968684,15.09,2.5241273629412815,28.3,3.0,26.44975974662114,1.34,0.0005928494737393388,0.015631685032176847,0.19561198802618862
2.151762203259462,0.76,1.556037135706985,12.1,2.0,23.739077129449832,0.878,0.0006555305934934358,0.01806711803673649,0.20524328689285812
1.3428648031925547,13.6,2.096790180014449,23.57,3.0,23.74562888661343,0.593,-0.0005215447189916656,0.019080315371178786,-0.22845858724964263
2.5779415157551897,10.25,1.9286186519452522,28.3,2.0,22.57789146985777,1.753,-0.0004812426135882586,0.025482692090895123,-0.25293384013341824
1.2237754316221157,9.09,1.6863989535702288,15.89,2.0,23.78482530498855,1.479,0.0007131520147421848,0.019060622231209527,0.22202363035260964
1.3962446919730587,13.65,2.0955609235597192,23.82,3.0,24.937574787056363,0.447,-6.0087986865024455e-05,0.01192235087930503,-0.05235639502202996
0.7514160886839212,9.88,2.1162555148025524,18.3,2.0,23.088169132086847,1.408,-0.0005323332999747266,0.01815998461952627,-0.22608908669727037
2.733717947850788,13.26,1.8357763546448294,32.92,3.0,23.350676137407522,0.637,0.000286364294451725,0.016963931070593484,0.05901684586738046
0.3506568716131694,14.46,2.124653884501384,22.24,3.0,24.093009189614502,-0.057,-0.0005704307762572485,0.015073438315355642,-0.2222995879278965
0.7929925155296614,9.18,2.0794415416798357,17.4,1.0,22.949423754188842,0.947,-0.00031243498505914737,0.020901462144080663,-0.18355174699248694
0.7561219797213337,9.86,2.392425796993835,20.93,2.0,24.679397704747924,1.067,0.0010237011232958333,0.013588165270448324,0.3875958502701106
0.6830968447064438,10.13,2.211565694606877,19.23,3.0,25.632385324764233,1.4,0.001707658387357211,0.016410307526295576,0.6542165670499831
0.6418538861723948,7.36,2.39698576841553,18.25,2.0,25.620991744807387,1.317,0.0006510214012068094,0.012930325829450338,0.2362697934010245
0.8372475245337022,14.37,2.0881534822818573,22.74,2.0,25.33179064589973,0.458,-0.0007789394655755033,0.014509956973224804,-0.2690695828551188
1.6467336971777973,7.5,1.7817091333745536,16.63,2.0,23.9300792894756,1.059,0.001175876747034148,0.012254519486885216,0.4586244973992711
0.12221763272424921,9.77,2.449279472144849,20.48,1.0,24.105583886705983,0.829,0.001557010556679602,0.012042201441340368,0.618305639052949
1.2119409739751128,11.85,2.2915241456346207,23.11,2.0,25.53527725041402,0.797,0.001451632469024206,0.01187589302086717,0.5752962702536184
1.3001916620664788,4.21,1.9035989509835904,12.59,2.0,22.737315194155126,1.182,0.00010290714096279586,0.019625529316542607,-0.03816193083877723
1.2584609896100056,9.57,2.5087859235779435,23.39,2.0,25.963845913964764,1.5,0.0017100949404675924,0.020202258204151093,0.6259166956887782
1.264126727145683,4.52,1.864080130807681,12.51,1.0,23.39265717789038,1.199,0.0005909608073529443,0.024310954834579974,0.12141229527750591
1.0296194171811581,13.75,2.6871669901857858,29.24,4.0,25.451657265440307,1.435,0.000878902053524976,0.01578780687815461,0.31355675407887884
2.460443177609626,15.42,1.7404661748405046,30.83,2.0,23.471626848176395,0.309,-0.0004471336938568003,0.012394398431148403,-0.17939859884443463
0.7747271675523681,7.33,1.9960599327407849,14.86,3.0,24.041908592878244,0.616,0.0010109816810467346,0.013210227501246884,0.38461406848041946
2.4362414778067194,17.69,2.203869120054888,36.17,4.0,25.867869901289485,1.089,0.001103041569237675,0.01692803230000327,0.3992502531923033
0.9001613499442714,11.54,2.4518667957098,23.6,2.0,25.489329030770246,0.674,0.0006781259368318082,0.011977353602960383,0.2524863594776013
1.3164082336557241,7.58,2.454447442303292,20.95,1.0,23.83031819711047,0.673,0.0012380944111336789,0.011945252840697062,0.4860617224430267
0.9001613499442714,1.89,1.7298840655099674,7.98,1.0,24.323819920131402,1.4,0.0010760079749688885,0.017560414152609522,0.383814741494061
1.6253112615903906,1.67,1.6770965609079151,10.1,0.0,24.679433447730485,0.861,-0.0003749581609064155,0.01605503952116859,-0.17402075398782604
2.341805806147327,10.13,1.7850704810772584,24.49,3.0,23.87427679210866,2.693,0.0021933786434617975,0.029639131863242487,0.7276759144291732
1.2029723039923526,4.88,1.7595805708638197,12.02,0.0,25.043988764891164,1.02,0.00142601285312573,0.018603773202809714,0.5215298190977197
1.247032293786383,3.21,1.5085119938441398,9.21,0.0,24.118786910577818,1.033,0.0006712443959279232,0.015343693635988025,0.22870992008469812
2.7536607123542622,5.86,1.8825138324965192,26.13,2.0,23.34365285893668,1.294,0.0007586826732513677,0.018427247690706593,0.24452292158305758
2.844327819394758,7.73,1.8594181177018698,29.33,1.0,23.41098857961667,0.946,0.00021072336126997323,0.01871205784547347,0.013815045652307957
1.085189268335969,10.15,2.5201129055226197,23.54,2.0,23.624742483634616,1.328,0.0004748131586687311,0.022972224123944878,0.0853023667233981
2.065596134857783,6.31,2.0360119837525,19.86,1.0,23.972065602550032,0.54,0.0005820529129889669,0.011071936788154657,0.21683254411658417
1.7457155307266483,9.29,1.840549633397487,19.32,1.0,23.188370156483188,0.825,0.0005003735101944909,0.018528413508368646,0.13675230860553958
1.9530276168241774,10.72,2.191653532286764,24.72,2.0,24.61535136814494,1.051,0.00029744515014764033,0.022333350968034946,0.017297918000593843
0.019802627296179712,5.99,1.8946168546677629,11.65,2.0,25.35364136073201,0.509,0.000422571038457825,0.016716789798588236,0.11818383789261246
1.0152306797290584,10.97,2.6304489550786583,25.61,1.0,23.788198675450907,0.671,0.0007769881473063062,0.01517237516577481,0.27571280214607413
2.2321626286975,11.31,2.020222182019865,26.17,2.0,25.179303839348137,0.399,0.0007592040263867519,0.009608377569702743,0.2970529502381223
2.1656192379208883,8.59,1.8421356765531218,21.63,2.0,23.746360084441854,0.393,0.00036723925178439883,0.014904004524740803,0.10689878997219023
1.601405740736836,10.9,2.222459048514761,23.09,2.0,25.747881561996728,1.01,0.00036179330329208617,0.01450425979728396,0.10656867030425071
1.1410330045520618,6.48,2.321406847234633,17.8,1.0,25.088805354178678,0.561,0.0006491461315577354,0.011164500535137322,0.24447120931203042
2.052840859882657,9.59,1.6620303625532709,20.66,2.0,25.1067236134606,1.256,0.0018663863960952049,0.0171811289115626,0.7154117920073235
