environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta,avg_return,volatility,momentum_6m,gmm_cluster
-1.0621831222456437,-0.7245192165613893,-0.1784867849372809,-1.148831700241722,0.1290960023594171,-0.1354191718166452,0.0434301633083887,-0.7521234945353839,0.0472450107432752,-0.8559171194254671,1
0.957951729988013,0.7048365289819364,-0.985929149554156,0.695707687854994,0.1290960023594171,-1.6869642160423388,0.9549046968834026,-0.9500358578644664,1.687473696519977,-1.2015579769265754,3
-1.52133287151918,-0.4594188201604284,1.2839393896149305,-0.6292840205103105,1.2289939424616518,3.920612355738832,0.4907501190998202,1.0941826185640562,-0.6237554055993734,1.236652886998082,1
-0.4879565759990027,2.2189150816224767,1.635941039627751,1.2152553675864055,1.2289939424616518,1.8396711910836436,-1.0027213462038305,-0.1336050648394529,-0.8802179724452567,-0.0971862190252727,1
-0.5286861493882696,1.4126819173102754,0.875958763895411,0.47511761154445,1.2289939424616518,1.372985292129477,-0.7550119083193282,-0.5959053029278244,-0.9516164158716494,-0.6005138697941307,1
-0.8740789512055325,0.2812224934958645,1.811975071819215,0.1311712425602477,0.1290960023594171,-0.0663964970894512,-1.0580351041780398,1.0803875510261736,-0.3969620589591566,1.200692796371109,1
-1.2500134203113298,-1.2191910902580276,-1.227934821908352,-1.7003068910180807,0.1290960023594171,1.397587403633562,0.4883451731009418,0.0279601040776746,-0.488416261112969,0.0490995159179415,1
-0.6596437907325624,-0.8420379489865575,-0.7330129619754921,-1.2301017283561329,0.1290960023594171,1.4811494754902588,0.6254270950370255,1.0450962536560406,0.9925645816972593,1.0073782694343778,2
0.8801520415297389,-0.6534613783508225,0.2725827717895659,0.1979287656542281,-0.9708019377428176,0.8146459079722498,0.0891241372870831,0.4907956423013282,0.3439047088189516,0.4772919116626536,3
1.546068785054156,0.2948874623825122,-0.8219089440768408,1.4851879609664125,1.2289939424616518,-0.427854707282007,-0.7742514763103575,-1.6803869615332594,0.4031137842035719,-1.598306450111441,0
-0.343771556838269,-0.9650226689663848,-0.5252801495953522,-1.1227091912049472,-0.9708019377428176,0.8313744134067317,-0.5626162284090348,-0.2620251866865578,-1.0354002813025238,-0.2273979743177829,1
-0.0873513087135419,-0.2407793179740689,-0.8997694977255222,-0.6960415436042904,-2.070699877845052,0.2066378396201799,1.058317374835185,0.4060601645176379,0.4830403704035304,0.3642085828014393,1
1.248302154943303,-0.0002758655690732,-0.6707462100919317,0.8147102290225241,0.1290960023594171,-0.6455941067384053,-1.3899176520232956,-0.887521275505191,-0.8397429406319084,-0.9170681424549804,3
1.2312974491363495,-0.2653762619700343,-0.5912724390209946,0.6652314273120898,0.1290960023594171,0.1766832391227331,-1.2095467021073956,-0.5228643731039944,-0.8406753287946291,-0.5287299162181397,3
1.2842152650992205,-0.2435123117513983,-0.6645744183322094,0.7450502049244576,0.1290960023594171,-1.114901416781362,0.062669731299418,-1.930516670275796,1.1592083660140924,-1.7665133443924323,0
-1.664221385422986,0.0188550908722333,1.10488274594504,-0.468195214783532,-0.9708019377428176,0.2681757942499398,-0.2090891665738713,0.5801898198385135,-0.8094306342401049,0.6842249037004472,1
-0.7874863530685218,0.1637037610706963,2.4038186484164727,0.380786328911652,0.1290960023594171,0.026035172003551,0.0939340292848404,-0.0552523437195985,-0.3397477652604169,-0.0564541928151779,1
-0.7968123948513964,0.4779980454635883,2.0542174833439826,0.3706275753973506,0.1290960023594171,-1.3898815361122037,-1.137398322141036,0.6183226103590269,-0.2953218148977735,0.6850706199149904,1
-1.8811126232793645,0.5053279832368832,1.5639091378560863,-0.0574913227053488,0.1290960023594171,0.3249176120319845,-0.7381772863271775,0.5953897972819262,-1.1566783736246569,0.7268788124333192,1
-0.280627889160099,-0.5414086334803132,0.2483183617789147,-0.6597602810532142,-0.9708019377428176,-1.0274595461621217,-0.8656394242677465,-0.095206109402766,-0.0883120459628898,-0.1249851928557371,1
